資料日期,股票代號,股票名稱,本週餘額,上週餘額,增減數額,增減比率,發行比率
1090529,006201,元大富櫃50,21446,21446,0,0.00,100.00
1090529,00679B,元大美債20年,394192,397692,-3500,-0.88,99.74
1090529,00687B,國泰20年美債,261787,231287,30500,13.18,98.86
1090529,00694B,富邦美債1-3,190076,190076,0,0.00,100.00
1090529,00695B,富邦美債7-10,9186,9186,0,0.00,100.00
1090529,00696B,富邦美債20年,442181,340181,102000,29.98,95.67
1090529,00697B,元大美債7-10,5712,5712,0,0.00,100.00
1090529,00718B,富邦中國政策債,1144501,1144001,500,0.04,100.00
1090529,00719B,元大美債1-3,601514,603014,-1500,-0.24,100.00
1090529,00720B,元大投資級公司債,503609,511609,-8000,-1.56,91.54
1090529,00721B,元大中國債3-5,459122,459122,0,0.00,100.00
1090529,00722B,群益IG電信債,622239,603739,18500,3.06,100.00
1090529,00723B,群益IG科技債,765583,746083,19500,2.61,100.00
1090529,00724B,群益IG金融債,1228775,1212775,16000,1.31,100.00
1090529,00725B,國泰投資級公司債,610706,610706,0,0.00,100.00
1090529,00726B,國泰5Y+新興債,1044489,1023989,20500,2.00,99.05
1090529,00727B,國泰1-5Y高收債,184189,184189,0,0.00,100.00
1090529,00734B,台新ＪＰＭ新興債,31979,31979,0,0.00,100.00
1090529,00740B,富邦全球投等債,429971,384971,45000,11.68,100.00
1090529,00741B,富邦全球高收債,17628,17628,0,0.00,100.00
1090529,00744B,國泰中國政金債5+,1027728,1027728,0,0.00,100.00
1090529,00745B,富邦中政債0-1,5516,5516,0,0.00,100.00
1090529,00746B,富邦A級公司債,990464,989464,1000,0.10,100.00
1090529,00747B,FH中國政策債,824500,824500,0,0.00,100.00
1090529,00748B,凱基中國債3-10,624000,624500,-500,-0.08,100.00
1090529,00749B,凱基新興債10+,864500,863500,1000,0.11,100.00
1090529,00750B,凱基科技債10+,163000,163000,0,0.00,100.00
1090529,00751B,元大AAA至A公司債,1254603,1291603,-37000,-2.86,100.00
1090529,00754B,群益AAA-AA公司債,349400,349400,0,0.00,100.00
1090529,00755B,群益15年IG公用債,196730,177230,19500,11.00,100.00
1090529,00756B,群益15年EM主權債,965300,936300,29000,3.09,98.97
1090529,00758B,FH能源債,20525,20525,0,0.00,100.00
1090529,00759B,FH製藥債,55025,55025,0,0.00,100.00
1090529,00760B,FH新興企業債,305020,289520,15500,5.35,95.31
1090529,00761B,國泰A級公司債,1206089,1237089,-31000,-2.50,100.00
1090529,00764B,群益25年美債,387500,330000,57500,17.42,100.00
1090529,00765B,群益中國政金債,3000,3000,0,0.00,100.00
1090529,00768B,FH20年美債,8100,8100,0,0.00,100.00
1090529,00772B,中信高評級公司債,1518290,1518290,0,0.00,98.76
1090529,00773B,中信優先金融債,566790,615290,-48500,-7.88,100.00
1090529,00777B,凱基AAA至A公司債,397150,393150,4000,1.01,99.74
1090529,00778B,凱基金融債20+,219650,180150,39500,21.92,91.84
1090529,00779B,凱基美債25+,139650,139650,0,0.00,100.00
1090529,00780B,國泰A級金融債,307602,306102,1500,0.49,100.00
1090529,00781B,國泰A級科技債,19336,19336,0,0.00,100.00
1090529,00782B,國泰A級公用債,27467,41467,-14000,-33.76,100.00
1090529,00784B,富邦中國投等債,3993,3993,0,0.00,100.00
1090529,00785B,富邦金融投等債,291966,291966,0,0.00,100.00
1090529,00786B,元大10年IG銀行債,10066,9566,500,5.22,100.00
1090529,00787B,元大10年IG醫療債,16806,16806,0,0.00,100.00
1090529,00788B,元大10年IG電能債,38706,38706,0,0.00,100.00
