,證券代號,證券名稱,本週股額(A),上週股額(B),增減數額(A-B),增減比率(A-B)/B,發行比率(%)
0,006201,元大富櫃50,"20,446","20,946",-500,-2.38,100.00
1,00679B,元大美債20年,"395,192","395,192",0,0.00,99.87
2,00687B,國泰20年美債,"289,787","289,787",0,0.00,100.00
3,00694B,富邦美債1-3,"190,076","190,076",0,0.00,100.00
4,00695B,富邦美債7-10,"9,186","9,186",0,0.00,100.00
5,00696B,富邦美債20年,"765,681","586,181","179,500",30.62,100.00
6,00697B,元大美債7-10,"5,712","5,712",0,0.00,100.00
7,00718B,富邦中國政策債,"1,146,501","1,145,001","1,500",0.13,100.00
8,00719B,元大美債1-3,"597,514","600,514",-3000,-0.49,100.00
9,00720B,元大投資級公司債,"567,609","538,109","29,500",5.48,100.00
10,00721B,元大中國債3-5,"460,622","459,122","1,500",0.32,99.89
11,00722B,群益IG電信債,"586,239","620,239",-34000,-5.48,100.00
12,00723B,群益IG科技債,"765,583","765,583",0,0.00,100.00
13,00724B,群益IG金融債,"1,228,775","1,228,775",0,0.00,99.95
14,00725B,國泰投資級公司債,"610,706","610,706",0,0.00,100.00
15,00726B,國泰5Y+新興債,"1,095,489","1,064,489","31,000",2.91,100.00
16,00727B,國泰1-5Y高收債,"184,189","184,189",0,0.00,100.00
17,00734B,台新ＪＰＭ新興債,"34,979","31,979","3,000",9.38,90.90
18,00740B,富邦全球投等債,"458,971","429,971","29,000",6.74,100.00
19,00741B,富邦全球高收債,"17,628","17,628",0,0.00,100.00
20,00744B,國泰中國政金債5+,"1,027,228","1,027,228",0,0.00,100.00
21,00745B,富邦中政債0-1,"4,016","4,016",0,0.00,100.00
22,00746B,富邦A級公司債,"977,464","979,464",-2000,-0.20,100.00
23,00747B,FH中國政策債,"824,500","824,500",0,0.00,100.00
24,00748B,凱基中國債3-10,"624,000","624,000",0,0.00,100.00
25,00749B,凱基新興債10+,"979,000","917,500","61,500",6.70,98.73
26,00750B,凱基科技債10+,"169,000","131,000","38,000",29.00,100.00
27,00751B,元大AAA至A公司債,"1,180,603","1,193,103",-12500,-1.04,100.00
28,00754B,群益AAA-AA公司債,"349,400","349,400",0,0.00,100.00
29,00755B,群益15年IG公用債,"196,730","196,730",0,0.00,100.00
30,00756B,群益15年EM主權債,"1,061,300","993,300","68,000",6.84,100.00
31,00758B,FH能源債,"5,525","5,525",0,0.00,100.00
32,00759B,FH製藥債,"55,025","55,025",0,0.00,100.00
33,00760B,FH新興企業債,"320,520","320,020",500,0.15,100.00
34,00761B,國泰A級公司債,"1,176,589","1,181,089",-4500,-0.38,100.00
35,00764B,群益25年美債,"445,000","445,000",0,0.00,100.00
36,00765B,群益中國政金債,"3,000","3,000",0,0.00,100.00
37,00768B,FH20年美債,"8,100","8,100",0,0.00,100.00
38,00772B,中信高評級公司債,"1,524,790","1,516,790","8,000",0.52,100.00
39,00773B,中信優先金融債,"677,790","629,790","48,000",7.62,100.00
40,00777B,凱基AAA至A公司債,"394,650","367,150","27,500",7.49,100.00
41,00778B,凱基金融債20+,"239,150","239,150",0,0.00,100.00
42,00779B,凱基美債25+,"134,150","139,650",-5500,-3.93,100.00
43,00780B,國泰A級金融債,"309,102","308,102","1,000",0.32,100.00
44,00781B,國泰A級科技債,"19,336","19,336",0,0.00,100.00
45,00782B,國泰A級公用債,"27,467","27,467",0,0.00,100.00
46,00784B,富邦中國投等債,"3,993","3,993",0,0.00,100.00
47,00785B,富邦金融投等債,"312,966","312,966",0,0.00,100.00
48,00786B,元大10年IG銀行債,"9,566","9,566",0,0.00,100.00
49,00787B,元大10年IG醫療債,"16,806","16,806",0,0.00,100.00
50,00788B,元大10年IG電能債,"38,706","38,706",0,0.00,100.00
